EMDB ID,Resolution (Angstrom),FittedPDBs,PDBvolnoGMM,Multiplier,,PDBvol50,PDBvol100,PDBvol150,PDBvol200,EMvol50,EMvol100,EMvol150,EMvol200,PDBvol50wmult,PDBvol100wmult,PDBvol150wmult,PDBvol200wmult
emd_4076,4.2,5lmq,848088.1195,1,5lmq,1054559.62,1028592.38,1004020.88,989221.75,899997.31,834811,792477.06,765078.75,1054559.62,1028592.38,1004020.88,989221.75
emd_4077,4.45,5lmr,844950.7207,1,5lmr,1044755.12,1016827.44,996395.62,977013.81,883227.81,810638.75,769823.69,745825.56,1044755.12,1016827.44,996395.62,977013.81
emd_4078,5.1,5lms,861868.1871,1,5lms,1065136.12,1032835.5,1020735.06,1005180.19,926389.62,842589.75,811974.88,803479.25,1065136.12,1032835.5,1020735.06,1005180.19
emd_4079,4.15,5lmt,845296.2143,1,5lmt,1041508.44,1007903.44,994340.69,971316,882011,817917.75,769259.06,748698.38,1041508.44,1007903.44,994340.69,971316
emd_4080,4,5lmu,829315.379,1,5lmu,1013547.81,995142.81,971909.81,952988.88,863769.5,802422.44,762540.12,739760.5,1013547.81,995142.81,971909.81,952988.88
emd_4083,4.9,5lmv,915156.3303,1,5lmv,1102530.12,1081575.88,1066114.88,1049009.75,886945.38,816841.69,776543.31,738259.31,1102530.12,1081575.88,1066114.88,1049009.75
emd_4088,4.9,5lmx,539391.6489,1,5lmx,583210.62,584667.25,582889.81,576680.81,480360.09,417620.91,374590.38,338116.09,583210.62,584667.25,582889.81,576680.81
emd_3449,4.6,5m64,628999.2378,1,5m64,672096.94,678855.12,671553.75,663539.81,560347.62,543099.94,514130.19,484408.97,672096.94,678855.12,671553.75,663539.81
emd_3460,3.8,5mbv,424419.3548,1,5mbv,430166.31,438315.44,432078.81,430020.31,342339.03,327177.34,307979.38,297046.44,430166.31,438315.44,432078.81,430020.31
emd_3583,3.8,5mz6,149890.7144,1,5mz6,136612.16,132668.77,129798.12,126048.61,73671.25,61609.75,55773.84,52498.5,136612.16,132668.77,129798.12,126048.61
emd_8313,5.9,5sv9,116316.6789,1,5sv9,108320.57,95107.05,91929.32,88791.34,66460.27,47365.07,44784.14,43118.92,108320.57,95107.05,91929.32,88791.34
